id_number,product_name,final_url,lastupdate,timestamp,comment,pic_url,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,Resolution_n,Card slot,Phonebook,Call records,Call records_n,Loudspeaker,Alert types,3.5mm jack,3.5mm jack_n,WLAN,Bluetooth,Positioning,Radio,USB,Sensors,Messaging,Browser,Clock,Alarm,Games,Languages,Java,Java_n,Colors,Stand-by,Talk time,Infrared port,SAR,SAR EU,Call records_n_n,CPU,Internal,Internal_n,Internal_n_n,OS,Card slot_n,Card slot_n_n,Languages_n,SIM_n,Alarm_n,Keyboard,Single,Video,Video_n,3G bands,Speed,2G bands_n,Chipset,Features,Browser_n,Price,Unnamed: 70,Music play,Protection,Protection_n,3G bands_n,GPU,Models,Audio quality,full_address,local_address,NFC,Camera,3G bands_n_n,Charging,Display,Build,Battery (old),2G bands_n_n,4G bands,Sensors_n,main_url
11,Nokia 8110,https://www.gsmarena.com/x-11.php,02:32.1,1703881952.0,,https://www.gsmarena.com/x-pictures-11.php,GSM,GSM 900 ,No,No,1996,Discontinued,141 x 48 x 25 mm (5.55 x 1.89 x 0.98 in),152 g (5.36 oz),Mini-SIM,Extended 900 mAh Li-Ion,,4 x 13 characters,"Dynamic font size <br>
Softkey<br>
Welcome message",No,125,"10 dialed, 10 received, 10 missed calls",No,No,Monophonic ringtones,No,"6 Ringing tone levels <br>
10 Volume levels",No,No,No,No,,,SMS,,No,No,No,31 total,No,Conference calling (1+5 persons),black,80 - 150 h,3 - 5 h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\Mahdi_Mosaffa\Desktop\pw_py\img3\11,img3\11,,,,,,,,,,,
12,Nokia 6210,https://www.gsmarena.com/x-12.php,03:12.4,1703881992.0,,https://www.gsmarena.com/x-pictures-12.php,GSM,GSM 900 / 1800 ,No,No,2000,Discontinued,"129.5 x 47.3 x 18.8 mm, 95 cc (5.10 x 1.86 x 0.74 in)",114 g (4.02 oz),Mini-SIM,"Ultra Slim, Li-Polymer 1100 mAh (BPS-2)",,"96 x 60 pixels, 6 lines, 16:10 ratio","Dynamic font size <br>
Softkey",No,500 names x3 numbers,"10 dialed, 10 received, 10 missed calls","3 phone numbers per name<br>
150 text messages<br>
10 voice dial numbers",No,Vibration; Downloadable monophonic ringtones,No,"Profile Selection<br>
Ascending ringing tones<br>
Personal alert tones",No,No,No,No,,,SMS,WAP 1.1,Yes,Yes,"3 Games (Snake II, Opposite, Pairs II)",Major European and Asian languages,No,"Predictive text input<br>
Organizer<br>
Infrared transfer of data between compatible phones","Black Night, Grey Dusk and Red Sunset",Up to 310 h,Up to 5 h 30 min,Yes,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Nokia 6250,https://www.gsmarena.com/x-13.php,50:33.4,1703658033.0,Superior durability,https://www.gsmarena.com/x-pictures-13.php,GSM,GSM 900 / 1800 ,No,No,2000,Discontinued,"142 x 50-58 x 23-27 mm, 159 cc",167 g (5.89 oz),Mini-SIM,Removable Li-Ion 1200 mAh battery (BLL-2),,"96 x 60 pixels, 6 lines, 16:10 ratio","Dynamic font size <br>
Softkey",No,500,"10 dialed, 10 received, 10 missed calls","3 phone numbers per name<br>
150 text messages<br>
10 voice dial numbers",No,Vibration; Downloadable monophonic ringtones,No,"Profile Selection<br>
Ascending ringing tones<br>
Personal alert tones",No,No,No,No,,Sound level meter,SMS,WAP 1.1,Yes,Yes,"3 Games (Snake II, Opposite, Pairs II)",Major European and Asian languages,No,"Voice recognition<br>
Predictive text input<br>
Organizer<br>
Infrared transfer of data between compatible phones<br>
Task journal <br>
Stopwatch","Black Night, Grey Dusk and Red Sunset",Up to 336 h,Up to 5 h 50 min,Yes,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Not Found,https://www.gsmarena.com/x-14.php,50:50.7,1703658051.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Nokia 7110,https://www.gsmarena.com/x-15.php,51:09.6,1703658070.0,,https://www.gsmarena.com/x-pictures-15.php,GSM,GSM 900 / 1800 ,No,No,,Discontinued,"125 x 53 x 24 mm, 125 cc (4.92 x 2.09 x 0.94 in)",141 g (4.97 oz),Mini-SIM,"Slim, Li-Ion 900 mAh, 141 g (BLS-2N)",,"96 x 65 pixels, 6 lines, 3:2 ratio","Dynamic font size <br>
Softkey",No,1000,"10 dialed, 10 received, 10 missed calls",3 numbers and 1 text field for each name,No,Vibration; Downloadable monophonic ringtones,No,"Profile Selection<br>
Ascending ringing tones<br>
Personal alert tones",No,No,No,No,,,SMS,WAP,Yes,Yes,4,34 total,No,"Predictive text input<br>
Navi roller<br>
Organizer",Dark green,Up to 260 h,Up to 4 h 30 min,Yes,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Nokia 9000 Communicator,https://www.gsmarena.com/x-16.php,51:32.1,1703658092.0,,https://www.gsmarena.com/x-pictures-16.php,GSM,GSM 900 ,No,No,1998,Discontinued,173 x 64 x 38 mm (6.81 x 2.52 x 1.50 in),397 g (14.00 oz),Mini-SIM,Removable Li-Ion battery,,640 x 200 pixels,Second display,No,200,"10 dialed, 10 received, 10 missed calls",,No,Monophonic ringtones,No,,No,No,No,No,,,"SMS, Email, Fax",HTML,Yes,Yes,,,No,"Telnet<br>
Terminal<br>
Organizer<br>
Ringing tone composer<br>
Help<br>
System &amp; security",Black,35 h,3 h,Yes,,,,Intel 386,8MB,"4 MB Operating System and applications <br>
2 MB program execution<br>
2 MB user data storage<br>
Operating System: GEOSTM 3.0",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Not Found,https://www.gsmarena.com/x-17.php,51:49.9,1703658110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Nokia 9110i Communicator,https://www.gsmarena.com/x-18.php,52:05.2,1703658125.0,WAP version of 9110 phone,https://www.gsmarena.com/x-pictures-18.php,GSM,GSM 900 ,No,No,1999,Discontinued,"158 x 56 x 27 mm, 218 cc (6.22 x 2.20 x 1.06 in)",253 g (8.92 oz),Mini-SIM,Removable Li-Ion 1100 mAh battery (BLN-3),"4.5 inches, 110 x 35 mm, 37.2 cm<sup>2</sup> (~42.0% screen-to-body ratio)",640 x 200 pixels (~149 ppi density),Second display,MMC,Many,Yes,,No,"Downloadable monophonic ringtones, composer",No,,No,No,No,No,,,"SMS, Email, Fax","WAP, HTML",Yes,Yes,Available separately,,No,"Telnet<br>
Terminal<br>
Organizer<br>
Help<br>
System &amp; security",Black,60 - 170 h,3 - 6 h,Yes,,,,AMD 486,8MB,"4 MB Operating System and applications <br>
2 MB program execution<br>
2 MB user data storage <br>
Operating System: GEOSE-mail protocols: SMTP, IMAP4, POP3 and MIME1",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Nokia 8210,https://www.gsmarena.com/x-19.php,52:51.0,1703658171.0,,https://www.gsmarena.com/x-pictures-19.php,GSM,GSM 900 / 1800 ,No,No,1999,Discontinued,"101.5 x 44.5 x 17.4 mm, 66 cc (4.00 x 1.75 x 0.69 in)",79 g (2.79 oz),Mini-SIM,Removable Li-Ion 650 mAh battery (BLB-2),,5 lines,"Dynamic font size <br>
Softkey",No,250,"10 dialed, 10 received, 10 missed calls","Memory for 8 voice dial numbers<br>
50 calendar notes",No,Vibration; Downloadable monophonic ringtones,No,,No,No,No,No,,,SMS,,Yes,Yes,4,32 total,No,"Picture messaging<br>
Predictive text input<br>
Over-the-air activation for sending/receiving phone numbers<br>
Business card sending/receiving<br>
Organizer",6 Xpress-on covers,50 - 150 h,2 h - 3 h 20 min,Yes,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Nokia 8810,https://www.gsmarena.com/x-20.php,12:00.0,1703659320.0,,https://www.gsmarena.com/x-pictures-20.php,GSM,GSM 900 ,No,No,1998,Discontinued,"107 x 46 x 18 mm, 74 cc (4.21 x 1.81 x 0.71 in)",118 g (4.16 oz),Mini-SIM,"Lightweight, 400 mAh Li-Ion (BLH-1A)",,5 lines,"Dynamic font size <br>
Softkey",No,250,"10 dialed, 10 received, 10 missed calls",No,No,Vibration; Downloadable monophonic ringtones,No,,No,No,No,No,,,SMS,,Yes,Yes,Yes,32 total,No,"Smart messaging<br>
Organizer",Metallic,15 - 60 h,30 min-1 h,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Nokia 8850,https://www.gsmarena.com/x-21.php,12:16.0,1703659336.0,,https://www.gsmarena.com/x-pictures-21.php,GSM,GSM 900 / 1800 ,No,No,1999,Discontinued,"100 x 44 x 17 mm, 70 cc (3.94 x 1.73 x 0.67 in)",91 g (3.21 oz),Mini-SIM,Removable Li-Ion 830 mAh battery (BLB-2),,5 lines,"Dynamic font size <br>
Softkey",No,250,Yes,Memory for 8 voice dialnumbers50 calendar notes,No,Vibration; Downloadable monophonic ringtones,No,Space for 5 received ringing tones,No,No,No,No,,,SMS,,Yes,Yes,3,32 total,No,"Picture messaging<br>
Predictive text input<br>
Smart Messaging<br>
Organizer<br>
Infrared transfer of names and phone numbers",Metallic,50 - 150 h,2 h - 3 h 20 min,Yes,,0.43 W/kg (head) &nbsp; &nbsp; ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Nokia 8890,https://www.gsmarena.com/x-22.php,12:36.2,1703659356.0,,https://www.gsmarena.com/x-pictures-22.php,GSM,GSM 900 / 1900 ,No,No,2000,Discontinued,"100 x 44 x 18 mm, 70 cc (3.94 x 1.73 x 0.71 in)",91 g (3.21 oz),Mini-SIM,Removable Li-Ion 830 mAh battery (BLB-2),,5 lines,"Dynamic font size <br>
Softkey",No,250,"10 dialed, 10 received, 10 missed calls","Memory for 8 voice dialnumbers<br>
50 calendar notes",No,Downloadable monophonic ringtones,No,Space for 5 received ringing tones,No,No,No,No,,,SMS,,Yes,Yes,4,23,No,"Picture messaging<br>
Predictive text input<br>
Smart Messaging<br>
Organizer<br>
Infrared transfer of names and phone numbers",Metallic,50 - 150 h,2 h - 3 h 20 min,Yes,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Nokia 3110,https://www.gsmarena.com/x-23.php,12:53.3,1703659373.0,,https://www.gsmarena.com/x-pictures-23.php,GSM,GSM 900 ,No,No,1997,Discontinued,"136 x 45 x 21 mm, 139 cc (5.35 x 1.77 x 0.83 in)",146 g with slim battery (5.15 oz),Mini-SIM,"Standard Battery, 550 mAh, NiMH",,4 x 13 characters,Navi Key,No,250,"10 dialed, 10 received, 10 missed calls",No,No,Monophonic ringtones,No,,No,No,No,No,,,SMS,,No,No,No,,No,,Black,40 - 95 h,1 h 30 min - 2 h 45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Nokia 2110,https://www.gsmarena.com/x-24.php,13:11.4,1703659391.0,,https://www.gsmarena.com/x-pictures-24.php,GSM,GSM 900 ,No,No,1995,Discontinued,148 x 56 x 25 mm (5.83 x 2.20 x 0.98 in),236g (8.32 oz),Mini-SIM,"Vibrating Battery, 550 mAh ,NiMH",,4 x 13 characters,Navi Key,No,SIM card + 125 entries,"10 dialed, 10 received, 10 missed calls",No,No,Monophonic ringtones,No,,No,No,No,No,,,SMS,,No,No,No,,No,,Black,30 h,2 h 40 min,,1.48 W/kg (head) &nbsp; &nbsp; 0.13 W/kg (body) &nbsp; &nbsp; ,0.85 W/kg (head) &nbsp; &nbsp; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,alcatel OT Club db,https://www.gsmarena.com/x-25.php,13:44.1,1703659424.0,,https://www.gsmarena.com/x-pictures-25.php,GSM,GSM 900 / 1800 ,No,No,2000,Discontinued,"122 x 48 x 25 mm, 160 cc (4.80 x 1.89 x 0.98 in)",150 g (5.29 oz),Mini-SIM,Removable NiMH 650 mAh battery,,3 lines,,No,,"5 dialed, 5 received, 5 missed calls",No,No,Monophonic ringtones,No,,No,No,No,No,,,SMS,,Yes,Yes,No,,No,Works with AAA batteries,"Lapis Grey, Agate Grey",up to 130 h,up to 4 h 45 min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,alcatel OT Easy db,https://www.gsmarena.com/x-26.php,14:06.6,1703659447.0,,https://www.gsmarena.com/x-pictures-26.php,GSM,GSM 900 / 1800 ,No,No,2000,Discontinued,"122 x 48 x 25 mm, 160 cc (4.80 x 1.89 x 0.98 in)",150 g (5.29 oz),Mini-SIM,Removable NiMH 650 mAh battery,,3 lines,,No,,"5 dialed, 5 received, 5 missed calls",No,Yes,Monophonic ringtones,No,,No,No,No,No,,,SMS,,Yes,Yes,No,,No,Works with AAA batteries,"9 (Atoll Blue, Havana Brown, ...)",up to 130 h,up to 4 h 45 min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,alcatel OT Max db,https://www.gsmarena.com/x-27.php,14:26.4,1703659466.0,,https://www.gsmarena.com/x-pictures-27.php,GSM,GSM 900 / 1800 ,No,No,2000,Discontinued,"122 x 48 x 25 mm, 160 cc (4.80 x 1.89 x 0.98 in)",150 g (5.29 oz),Mini-SIM,Removable NiMH 650 mAh battery,,3 lines,,No,,"5 dialed, 5 received, 5 missed calls",No,Yes,Monophonic ringtones,No,,No,No,No,No,,,SMS,,Yes,Yes,No,,No,Works with AAA batteries,"Denim Blue, Lolita, Grey, Gala Black, Ranger Green, Techno White",up to 130 h,up to 4 h 45 min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,alcatel OT View db,https://www.gsmarena.com/x-28.php,14:44.9,1703659485.0,,https://www.gsmarena.com/x-pictures-28.php,GSM,GSM 900 / 1800 ,No,No,2000,Discontinued,"133 x 54 x 25 mm, 142 cc (5.24 x 2.13 x 0.98 in)",150 g (5.29 oz),Mini-SIM,Removable NiMH 650 mAh battery,,"96 x 64 pixels, 5 x 15 chars, 3:2 ratio",,No,,"5 dialed, 5 received, 5 missed calls",No,Yes,Monophonic ringtones,No,,No,No,No,No,,,SMS,,Yes,Yes,No,,No,Works with AAA batteries,"Jade, Obsidian Black",up to 130 h,up to 4 h 45 min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,alcatel OT View db @,https://www.gsmarena.com/x-29.php,15:05.5,1703659506.0,View db with WAP,https://www.gsmarena.com/x-pictures-29.php,GSM,GSM 900 / 1800 ,No,No,2000,Discontinued,"133 x 54 x 25 mm, 142 cc (5.24 x 2.13 x 0.98 in)",150 g (5.29 oz),Mini-SIM,Removable NiMH 650 mAh battery,,"96 x 64 pixels, 5 x 15 chars, 3:2 ratio",,No,,"5 dialed, 5 received, 5 missed calls",No,Yes,Monophonic ringtones,No,,No,No,No,No,,,SMS,WAP,Yes,Yes,No,,No,Works with AAA batteries,"Jade, Obsidian Black",up to 130 h,up to 4 h 45 min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,alcatel OT Pocket,https://www.gsmarena.com/x-30.php,15:51.8,1703659552.0,View db with WAP,https://www.gsmarena.com/x-pictures-30.php,GSM,GSM 900 ,No,No,1999,Discontinued,116 x 65 x 19 mm (4.57 x 2.56 x 0.75 in),125 g (4.41 oz),Mini-SIM,Removable Li-Ion 600 mAh battery,,"96 x 64 pixels, 5 x 15 chars, 3:2 ratio",3 soft keys,No,350,"5 dialed, 5 received, 5 missed calls",No,No,Vibration; Monophonic ringtones,No,,No,No,No,No,,,SMS,,Yes,Yes,No,,No,"Internet ready<br>
",Gray,up to 80 h,up to 3 h 30 min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,alcatel OT COM,https://www.gsmarena.com/x-31.php,16:26.8,1703659587.0,,https://www.gsmarena.com/x-pictures-31.php,GSM,GSM 900 ,No,No,1998,Discontinued,151 x 62 x 24 mm (5.94 x 2.44 x 0.94 in),230 g (8.11 oz),Mini-SIM,Removable NiMH 880 mAh battery,,"160 x 239 pixels, 3:2 ratio",Used to also draw the digit buttons,No,A lot,"20 dialed, 20 received, 20 missed calls",,No,Monophonic ringtones,No,,No,No,No,No,,,"SMS, Email",,Yes,Yes,3,4,No,Organizer,Black,60 h,2 h,Yes,,,,,512 KB,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,alcatel OT Pro,https://www.gsmarena.com/x-32.php,16:53.6,1703659614.0,,https://www.gsmarena.com/x-pictures-32.php,GSM,GSM 900 ,No,No,1998,Discontinued,133 x 54 x 15 mm (5.24 x 2.13 x 0.59 in),145 g (5.11 oz),Mini-SIM,Removable NiMH 600 mAh battery,,4 x 16 chars,,No,100,"5 dialed, 5 received, 5 missed calls",No,No,Vibration; Monophonic ringtones,No,,No,No,No,No,,,SMS,,Yes,Yes,No,,No,,Gray,70 h,150 min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,alcatel OT Easy HF,https://www.gsmarena.com/x-33.php,17:25.0,1703659645.0,,https://www.gsmarena.com/x-pictures-33.php,GSM,GSM 900 ,No,No,1998,Discontinued,"133 x 54 x 25 mm, 160 cc (5.24 x 2.13 x 0.98 in)",160 g (5.64 oz),Mini-SIM,Extended 1200 mAh NiMH,,2 x 12 chars,,No,SIM only,"5 dialed, 5 received, 5 missed calls",No,Yes,Monophonic ringtones,No,,No,No,No,No,,,SMS,,Yes,Yes,No,,No,Works with AAA batteries,Many,140 h,6 h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,alcatel OT Easy,https://www.gsmarena.com/x-34.php,17:53.5,1703659674.0,,https://www.gsmarena.com/x-pictures-34.php,GSM,GSM 900 ,No,No,1998,Discontinued,"133 x 54 x 25 mm, 160 cc (5.24 x 2.13 x 0.98 in)",160 g (5.64 oz),Mini-SIM,Extended 1200 mAh NiMH,,2 x 12 chars,,No,SIM only,"5 dialed, 5 received, 5 missed calls",No,No,Monophonic ringtones,No,,No,No,No,No,,,SMS,,Yes,Yes,No,,No,Works with AAA batteries,Many,140 h,6 h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,alcatel OT Club,https://www.gsmarena.com/x-35.php,18:14.3,1703659694.0,,https://www.gsmarena.com/x-pictures-35.php,GSM,GSM 900 ,No,No,1998,Discontinued,"133 x 54 x 28 mm, 160 cc (5.24 x 2.13 x 1.10 in)",160 g (5.64 oz),Mini-SIM,Extended 1200 mAh NiMH,,2 x 12 chars,,No,SIM only,"5 dialed, 5 received, 5 missed calls",No,No,Monophonic ringtones,No,,No,No,No,No,,,SMS,,Yes,Yes,No,,No,Works with AAA batteries,Black,140 h,6 h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,alcatel OT Club +,https://www.gsmarena.com/x-36.php,18:42.8,1703659723.0,,https://www.gsmarena.com/x-pictures-36.php,GSM,GSM 900 ,No,No,1998,Discontinued,"133 x 54 x 28 mm, 160 cc (5.24 x 2.13 x 1.10 in)",160 g (5.64 oz),Mini-SIM,Extended 1200 mAh NiMH,,2 x 12 chars,,No,SIM only,"5 dialed, 5 received, 5 missed calls",No,No,Monophonic ringtones,No,,No,No,No,No,,,SMS,,Yes,Yes,No,,No,Works with AAA batteries,Gray,140 h,6 h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,alcatel OT Max,https://www.gsmarena.com/x-37.php,19:04.6,1703659745.0,,https://www.gsmarena.com/x-pictures-37.php,GSM,GSM 900 ,No,No,1998,Discontinued,"133 x 54 x 25 mm, 160 cc (5.24 x 2.13 x 0.98 in)",160 g (5.64 oz),Mini-SIM,Extended 1200 mAh NiMH,,2 x 12 chars,,No,SIM only,"5 dialed, 5 received, 5 missed calls",No,No,Monophonic ringtones,No,,No,No,No,No,,,SMS,,Yes,Yes,No,,No,Works with AAA batteries,Many,140 h,6 h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
